title,authors,description,full_text,average_rating,categories,published_date,source
New and Forthcoming Books,National Academy Press (U.S.),,New and Forthcoming Books.,,Science,1993,google_books_api
Scientific and Technical Books and Serials in Print,,,Scientific and Technical Books and Serials in Print.,,Engineering,1984,google_books_api
Soviet Science and Technology,,,Soviet Science and Technology.,,Science,1987,google_books_api
"Scientific, Medical, and Technical Books Published in the United States of America, 1930-1944",Reginald Robert Hawkins,,"Scientific, Medical, and Technical Books Published in the United States of America, 1930-1944.",,Medicine,1950,google_books_api
Scientific and Technical Books in Print,,,Scientific and Technical Books in Print.,,Engineering,1972,google_books_api
Soviet Science and Technology 1987,,,Soviet Science and Technology 1987.,,Aeronautics,1988,google_books_api
"Scientific, Medical, and Technical Books Published in the United States of America",Reginald Robert Hawkins,,"Scientific, Medical, and Technical Books Published in the United States of America.",,Medicine,1950,google_books_api
The New Book of Popular Science,,,The New Book of Popular Science.,,Science,1980,google_books_api
U.S. Government Research & Development Reports,,,U.S. Government Research & Development Reports.,,Technology,1971,google_books_api
English Mechanic and Mirror of Science and Art,,,English Mechanic and Mirror of Science and Art.,,Technology,1910,google_books_api
English Mechanic and Mirror of Science,,,English Mechanic and Mirror of Science.,,Technology,1880,google_books_api
"Pure and Applied Science Books, 1876-1982",,"Over 220,000 entries representing some 56,000 Library of Congress subject headings. Covers all disciplines of science and technology, e.g., engineering, agriculture, and domestic arts. Also contains at least 5000 titles published before 1876. Has many applications in libraries, information centers, and other organizations concerned with scientific and technological literature. Subject index contains main listing of entries. Each entry gives cataloging as prepared by the Library of Congress. Author/title indexes.","Pure and Applied Science Books, 1876-1982. Over 220,000 entries representing some 56,000 Library of Congress subject headings. Covers all disciplines of science and technology, e.g., engineering, agriculture, and domestic arts. Also contains at least 5000 titles published before 1876. Has many applications in libraries, information centers, and other organizations concerned with scientific and technological literature. Subject index contains main listing of entries. Each entry gives cataloging as prepared by the Library of Congress. Author/title indexes.",,Science,1982,google_books_api
The Popular Science Monthly,,,The Popular Science Monthly.,,Science,1899,google_books_api
Scientific American,,Monthly magazine devoted to topics of general scientific interest.,Scientific American. Monthly magazine devoted to topics of general scientific interest.,,Science,1880,google_books_api
New Scientist and Science Journal,,,New Scientist and Science Journal.,,Science,1997,google_books_api
"A Directory of Information Resources in the United States: Physical Sciences, Biological Sciences, Engineering",National Referral Center for Science and Technology (U.S.),,"A Directory of Information Resources in the United States: Physical Sciences, Biological Sciences, Engineering.",,Science,1965,google_books_api
New Scientist,,,New Scientist.,,Electronic journals,1996,google_books_api
The Book of Popular Science,,,The Book of Popular Science.,,Natural history,1924,google_books_api
Journal of Scientific & Industrial Research,,,Journal of Scientific & Industrial Research.,,Science,1990,google_books_api
Indian Journal of Technology,,,Indian Journal of Technology.,,Technology,1991,google_books_api
