clean_text,sentiment,topic,aspect
dear maam im currently writing book around complete planned release amazon within next months im reaching early request support goes live even short review mention would greatly help thank much time encouragement,positive,platform_experience,request support process
ikigai better self help books youve mentioned,positive,genre_preference,self-help book suggestion
bhagwad geeta team,positive,author_opinion,team
people like reading classicsthen go animal farm short good book,positive,general_reading,good book
sry say totally boring recommendation books,negative,genre_preference,boring recommendation
want cutefeel good bookyou go days morisaki bookshop,neutral,platform_experience,confusing user interface
surely read books recommend recently read novel allah miyan ka karkhana mohsin khan latest sensation literary scenario sincerely request review novel available hindi read come soon languages including one english harper collins english im interested reading english review better know novel recently honored bank baroda rashtrabhasha samman published rekhta critics described mirror reflects societys harsh truths poignantly portrays innocence especially children punished injustice defenseless continues thrive work raises profound moral social questions resonate deeply times review novel would invaluable literature lovers offer viewers fresh perspective,neutral,platform_experience,request for review
book kaha se milegi ye bhi bata,negative,platform_experience,confusing interface
mountain genuinely love book helps transforming self sabotage self mastery,positive,general_reading,helpful self improvement
must read uninstall future ai diljot kaur available amazon paperback ebook dont forget put ur reviews science fiction recommendation read till end indian author,positive,platform_experience,availability of books
recs someone wants get reading loves cdramas read ann liangs books youll fall love want read mythology fiction hidden hindu trilogy akshat gupta perfect want read suspense read silent patient plot crazy want read something related self harm rape read way used shows raped someone close getting correct environment discuss loved ones change also read girl pieces,positive,genre_preference,recommend cdrama books
,neutral,general_reading,empty
itni sari books lene ke bad kah rahi hai like cannot find choice books,negative,platform_experience,limited book choice
atomic habit really goodalso try ikigai youre beginner,positive,general_reading,recommended book
atomic habits like bhagwat geeta,neutral,genre_preference,prefers self-help books
much thankful wondering life hell book recommends women love muchthey showed path started reading still yet complete book exactly need foru dont know much book helping come boundary built understood childhood trauma reason living lifei hoping completing book changed person grt life aheadlots love,positive,general_reading,life changing book
pls read selecting books beginner scratch want get reading try small adventure books good storyline dont get bored stop reading start feeling miserable later slowly explore different genres authorsi would never recommend straight away start nonfiction find preferred genre books truly enjoy trust started reading journey books simple thea stilton series enid blyton nancy drew transformed voracious reader books like thousand splendid suns girl knew much litte lifekite runner girl pieces tuesdays morrie colour water james mcbride equally different engaging stories thanks reading hope find good books read,neutral,platform_experience,recommendation algorithm
app use edit videos,neutral,platform_experience,app usability
strangers,neutral,general_reading,strangers
plz give small summary help us choose best one,neutral,platform_experience,summary help needed
comment section empty really enjoyed watchingmore listening,negative,platform_experience,empty comment section
monkey paw also good something horror interesting read first thank later,positive,genre_preference,horror interest
found atomic habits boaring,negative,story_quality,found boring
bata aaisa rahi hai jaise puri book padh li ho,positive,story_quality,engaging story
reading subtle art giving fuck next ill read atomic habits,neutral,general_reading,next book to read
like looks good books,positive,general_reading,book quality
recommendation beginner chose read sudha murtys books like good range age groups eventually keep upgrading read book called astitva translated marathi liked much small book recommend,positive,general_reading,book recommendation
self help book power subconscious mind love one badly,negative,genre_preference,self help genre
loved recommendations,positive,platform_experience,recommendations
part please beg,neutral,general_reading,request for more
