clean_text,sentiment,confidence
dear maam im currently writing book around complete planned release amazon within next months im reaching early request support goes live even short review mention would greatly help thank much time encouragement,positive,0.8
ikigai better self help books youve mentioned,positive,0.8
bhagwad geeta team,neutral,0.5
people like reading classicsthen go animal farm short good book,positive,0.8
sry say totally boring recommendation books,negative,0.8
want cutefeel good bookyou go days morisaki bookshop,positive,0.8
surely read books recommend recently read novel allah miyan ka karkhana mohsin khan latest sensation literary scenario sincerely request review novel available hindi read come soon languages including one english harper collins english im interested reading english review better know novel recently honored bank baroda rashtrabhasha samman published rekhta critics described mirror reflects societys harsh truths poignantly portrays innocence especially children punished injustice defenseless continues thrive work raises profound moral social questions resonate deeply times review novel would invaluable literature lovers offer viewers fresh perspective,positive,0.9
book kaha se milegi ye bhi bata,neutral,0.8
mountain genuinely love book helps transforming self sabotage self mastery,positive,0.9
must read uninstall future ai diljot kaur available amazon paperback ebook dont forget put ur reviews science fiction recommendation read till end indian author,positive,0.8
recs someone wants get reading loves cdramas read ann liangs books youll fall love want read mythology fiction hidden hindu trilogy akshat gupta perfect want read suspense read silent patient plot crazy want read something related self harm rape read way used shows raped someone close getting correct environment discuss loved ones change also read girl pieces,positive,0.8
,neutral,0.0
itni sari books lene ke bad kah rahi hai like cannot find choice books,negative,0.8
atomic habit really goodalso try ikigai youre beginner,positive,0.8
atomic habits like bhagwat geeta,positive,0.8
much thankful wondering life hell book recommends women love muchthey showed path started reading still yet complete book exactly need foru dont know much book helping come boundary built understood childhood trauma reason living lifei hoping completing book changed person grt life aheadlots love,positive,0.9
pls read selecting books beginner scratch want get reading try small adventure books good storyline dont get bored stop reading start feeling miserable later slowly explore different genres authorsi would never recommend straight away start nonfiction find preferred genre books truly enjoy trust started reading journey books simple thea stilton series enid blyton nancy drew transformed voracious reader books like thousand splendid suns girl knew much litte lifekite runner girl pieces tuesdays morrie colour water james mcbride equally different engaging stories thanks reading hope find good books read,positive,0.9
app use edit videos,neutral,0.5
strangers,neutral,1.0
plz give small summary help us choose best one,neutral,0.8
comment section empty really enjoyed watchingmore listening,positive,0.8
monkey paw also good something horror interesting read first thank later,positive,0.8
found atomic habits boaring,negative,0.8
bata aaisa rahi hai jaise puri book padh li ho,positive,0.8
reading subtle art giving fuck next ill read atomic habits,positive,0.7
like looks good books,positive,0.7
recommendation beginner chose read sudha murtys books like good range age groups eventually keep upgrading read book called astitva translated marathi liked much small book recommend,positive,0.9
self help book power subconscious mind love one badly,positive,0.7
loved recommendations,positive,0.9
part please beg,neutral,0.5
forest enchantments,positive,0.8
read diary young girl anne frank first book niceee heart warming book,positive,0.9
suggest philosophy books small books finish fast,neutral,0.5
diu read angels morgan hills shall tell president damn amazing,positive,0.8
